id,Input,Expected Output,Metadata
vat-base-easy-1,개인 일반과세자의 2025년 제2기 확정 부가가치세 신고 기한은 언제까지인가?,"개인 일반과세자의 제2기 확정신고 기한은 과세대상기간(7.1.~12.31.)의 다음 해 1.1.~1.25.까지로, 2026년 1월 25일까지 신고·납부해야 한다.","{""category"": ""기초 신고/마감"", ""difficulty"": ""easy"", ""tax_type"": ""vat-general""}"
vat-base-easy-2,간이과세자는 1년에 부가가치세를 몇 번 신고하는가?,"간이과세자는 1.1.~12.31.의 1년을 과세기간으로 하여 1년에 1회 신고·납부하며, 신고기한은 다음 해 1.1.~1.25.이다.","{""category"": ""기초 신고/마감"", ""difficulty"": ""easy"", ""tax_type"": ""vat-simplified""}"
vat-base-medium-1,일반과세자의 부가가치세 매출세액은 어떤 항목으로 구성되는가?,매출세액은 과세분(세금계산서 교부분 + 기타 매출분) + 영세율(수출) + 예정신고 누락분 ± 대손세액 가감으로 계산한다.,"{""category"": ""기초 신고/마감"", ""difficulty"": ""medium"", ""tax_type"": ""vat-general""}"
vat-base-medium-2,부가가치세 신고기한을 놓친 경우 기한 후 신고는 언제까지 가능하며 가산세 감면은?,"관할 세무서가 무신고에 대한 결정·통지하기 전까지 기한 후 신고가 가능하다. 법정신고기한 후 1개월 이내 신고 시 무신고가산세 50%, 1~3월 이내 30%, 3~6월 이내 20%가 감면된다.","{""category"": ""기초 신고/마감"", ""difficulty"": ""medium"", ""tax_type"": ""vat-common""}"
vat-base-hard-1,부가가치세 환급금은 신고 후 얼마 이내에 환급되는가?,"영세율·시설투자 등 조기환급은 신고기한 경과 후 15일 이내, 그 외 일반환급은 신고기한 경과 후 30일 이내에 환급된다.","{""category"": ""기초 신고/마감"", ""difficulty"": ""hard"", ""tax_type"": ""vat-common""}"
vat-zero-easy-1,영세율이 적용되는 직접수출(대행수출 포함)의 경우 부가세 신고 시 첨부해야 하는 서류는?,"수출실적명세서를 첨부해야 하며, 휴대반출 시 간이수출신고서 사본, 소포수출의 경우 소포수령증을 첨부한다. 국세청장 지정서류로 수출대행계약서 사본과 수출실적명세서도 함께 제출한다.","{""category"": ""영세율/면세"", ""difficulty"": ""easy"", ""tax_type"": ""vat-common""}"
vat-zero-medium-1,국내에서 외국법인에게 용역을 공급하는 경우 영세율 적용을 받기 위해 필요한 서류는?,"외화입금증명서를 기본으로 제출하고, 직접 외화가 입금되지 않은 경우에는 외화획득명세서에 외화획득사실 증빙을 첨부한다. 다만 부가가치세법 시행령 제33조 제2항 제1호 나목(전문서비스업)·아목에 해당하는 용역에 한정하여, 해당 국가에서 우리나라 거주자·내국법인에 대하여 동일하게 면세한다는 사실을 입증할 수 있는 관계 증명서류를 함께 제출해야 한다.","{""category"": ""영세율/면세"", ""difficulty"": ""medium"", ""tax_type"": ""vat-general""}"
vat-zero-medium-2,수출 품목을 공급하며 내국신용장이 개설되지 않았는데 '영세율' 세금계산서를 발급한 경우 수정발급 방법은?,"내국신용장 개설 전 재화의 공급은 과세거래 건이므로 일반세금계산서로 발급해야 한다. 당초 발급한 영세율 세금계산서를 [기재사항 착오정정] 사유로 전액 (-)발급한 후, 하단의 새로 작성하는 세금계산서 종류를 [일반]으로 체크하고 올바른 내용으로 수정 발급한다.","{""category"": ""영세율/면세"", ""difficulty"": ""medium"", ""tax_type"": ""vat-common""}"
vat-zero-medium-3,외항선박에 공급하는 재화·용역에 영세율을 적용하기 위해 법령에 의한 첨부서류는?,"외항 선박·항공기 등에 공급하는 재화의 경우 선(기)적완료증명서가 법령에 의한 첨부서류이다. 다만 전기통신사업은 용역공급기록표, 개별소비세법 시행령 제20조 제2항 제3호 및 교통·에너지·환경세법 시행령 제17조 제2항 제2호에 따른 석유류 면세의 경우에는 유류공급명세서로 갈음한다. 하역용역·기타용역·원양어선 공급분은 각각 별도의 지정서류(세관장 발급 적재허가서·승선신고수리서 등)가 적용된다.","{""category"": ""영세율/면세"", ""difficulty"": ""medium"", ""tax_type"": ""vat-general""}"
vat-zero-hard-1,영세율 과세표준 신고를 누락하거나 과소신고한 경우 가산세는 어떻게 계산되는가?,"영세율과세표준 신고불성실 가산세는 무·과소신고한 영세율 과세표준 × 0.5%로 계산되며, 무신고·과소신고 가산세와 별개의 항목으로 부과된다.","{""category"": ""영세율/면세"", ""difficulty"": ""hard"", ""tax_type"": ""vat-common""}"
